CR_TITLE,CR_URL,CR_MATERIAL_TYPE,CR_Media_Formats,CR_ABSTRACT,CR_LANGUAGE,CR_COU_TITLE,CR_PRIMARY_USER,CR_SUBJECT,CR_KEYWORDS,CR_AUTHOR_NAME,CR_PROVIDER,CR_PROVIDER_SET,CR_COU_URL,CR_COU_COPYRIGHT_HOLDER,CR_EDUCATIONAL_USE,CR_ACCESSIBILITY
Special Topics in Media Technology: Cooperative Machines,https://live-qa.ocw.mit.edu/courses/mas-965-special-topics-in-media-technology-cooperative-machines-fall-2003,Full Course,Text/HTML,"This course examines the issues, principles, and challenges toward building machines that cooperate with humans and with other machines. Philosophical, scientific, and theoretical insights into this subject will be covered, as well as how these ideas are manifest in both natural and artificial systems (e.g. software agents and robots).",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Engineering|Computer Science|Graphic Design|Graphic Arts,Media Studies|Digital Media|Engineering|Fine Arts|Artificial Intelligence|Computer Science,"Breazeal, Cynthia",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Principles of Chemical Science,https://live-qa.ocw.mit.edu/courses/5-112-principles-of-chemical-science-fall-2005,Full Course,Text/HTML,"5.112 is an introductory chemistry course for students with an unusually strong background in chemistry. Knowledge of calculus equivalent to MIT course 18.01 is recommended. Emphasis is on basic principles of atomic and molecular electronic structure, thermodynamics, acid-base and redox equilibria, chemical kinetics, and catalysis. The course also covers applications of basic principles to problems in metal coordination chemistry, organic chemistry, and biological chemistry.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Physical Science|Chemistry,Chemistry|Science,"Ceyer, Sylvia|Cummins, Christopher",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual|Auditory|Caption|Transcript
Pre-7.01: Getting up to Speed in Biology,https://live-qa.ocw.mit.edu/courses/res-7-001-pre-7-01-getting-up-to-speed-in-biology-summer-2019,Full Course,Text/HTML,"This self-paced course was originally designed to help prepare incoming MIT students for their first Introductory Biology Course (known at MIT as 7.01). It will also be useful for anyone preparing to take an equivalent college-level introductory biology class elsewhere. It includes lecture videos, interactive exercises, problem sets, and one exam.  Lecture Topics: Molecules of Life, The Cell and How it Works, Information Transfer in Biology, Inheritance and Genetics, and Building with DNA.
Go to OCW’s Open Learning Library site for Pre-7.01: Getting up to Speed in Biology. The site is free to use, just like all OCW sites. You have the option to sign up and enroll in the course if you want to track your progress, or you can view and use all the materials without enrolling.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Biology|Physical Science,Science|Biology,"Ray, Diviya|Sive, Hazel",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Professional Development,Visual|Textual
"Exploring Sea, Space, & Earth: Fundamentals of Engineering Design",https://live-qa.ocw.mit.edu/courses/2-00aj-exploring-sea-space-earth-fundamentals-of-engineering-design-spring-2009,Full Course,Text/HTML,"Student teams formulate and complete space/earth/ocean exploration-based design projects with weekly milestones. This course introduces core engineering themes, principles, and modes of thinking, and includes exercises in written and oral communication and team building. Specialized learning modules enable teams to focus on the knowledge required to complete their projects, such as machine elements, electronics, design process, visualization and communication. Examples of projects include surveying a lake for millfoil from a remote controlled aircraft, then sending out robotic harvesters to clear the invasive growth; and exploration to search for the evidence of life on a moon of Jupiter, with scientists participating through teleoperation and supervisory control of robots.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Electronic Technology|Oceanography|Engineering,Systems Engineering|Ocean Engineering|Robotics and Control Systems|Electrical Engineering|Engineering|Ocean Exploration|Systems Design|Mechanical Design|Mechanical Engineering,"Techet, Alexandra",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Nonlinear Econometric Analysis,https://live-qa.ocw.mit.edu/courses/14-385-nonlinear-econometric-analysis-fall-2007,Full Course,Text/HTML,"This course presents micro-econometric models, including large sample theory for estimation and hypothesis testing, generalized method of moments (GMM), estimation of censored and truncated specifications, quantile regression, structural estimation, nonparametric and semiparametric estimation, treatment effects, panel data, bootstrapping, simulation methods, and Bayesian methods. The methods are illustrated with economic applications.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Statistics and Probability|Economics|Mathematics,Social Science|Microeconomics|Economics|Probability and Statistics|Mathematics|Econometrics,"Chernozhukov, Victor|Newey, Whitney",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Economic Growth,https://live-qa.ocw.mit.edu/courses/14-452-economic-growth-fall-2016,Full Course,Text/HTML,"This half semester class will present an introduction to macroeconomic modeling, particularly economic growth. It will focus both on models of economic growth and their empirical applications, and try to shed light on the mechanics of economic growth, technological change and sources of income and growth differences across countries.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Economics,Economics|Macroeconomics|Social Science|Developmental Economics,"Acemoglu, Daron",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Electromagnetics and Applications,https://live-qa.ocw.mit.edu/courses/6-013-electromagnetics-and-applications-fall-2005,Full Course,Text/HTML,"This course explores electromagnetic phenomena in modern applications, including wireless communications, circuits, computer interconnects and peripherals, optical fiber links and components, microwave communications and radar, antennas, sensors, micro-electromechanical systems, motors, and power generation and transmission. Fundamentals covered include: quasistatic and dynamic solutions to Maxwell's equations; waves, radiation, and diffraction; coupling to media and structures; guided and unguided waves; resonance; and forces, power, and energy.
Acknowledgments
The instructors would like to thank Robert Haussman for transcribing into LaTeX the problem set and Quiz 2 solutions.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Electronic Technology|Physical Science|Engineering|Physics,Science|Electrical Engineering|Physics|Engineering|Electromagnetism,"Ippen, Erich|Staelin, David|Zahn, Markus",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Crafting Research Questions and Qualitative Methodology,https://live-qa.ocw.mit.edu/courses/11-233-crafting-research-questions-and-qualitative-methodology-fall-2005,Full Course,Text/HTML,"This course covers approaches to research and evaluation in the planning field, for those preparing to write 1st-year doctoral and other research papers. Topics include narrowing down research interests, using quantitative and qualitative techniques complementarily, and interviewing and other fieldwork challenges. The course uses a seminar-type format in which readings, class discussions, and assignments are built around (1) generic themes that run across the research interests and paper topics of students in the class, and (2) lessons about methodology to be learned from the case comparison studies assigned.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Literature|Social Science|Arts and Humanities,Urban Studies|Social Science|Humanities|Nonfiction Prose|Literature|Urban Planning|Academic Writing,"Coslovsky, Salo|Tendler, Judith",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Practical Programming in C,https://live-qa.ocw.mit.edu/courses/6-087-practical-programming-in-c-january-iap-2010,Full Course,Text/HTML,"This course provides a thorough introduction to the C programming language, the workhorse of the UNIX operating system and lingua franca of embedded processors and micro-controllers. The first two weeks will cover basic syntax and grammar, and expose students to practical programming techniques. The remaining lectures will focus on more advanced concepts, such as dynamic memory allocation, concurrency and synchronization, UNIX signals and process control, library development and usage. Daily programming assignments and weekly laboratory exercises are required. Knowledge of C is highly marketable for summer internships, UROPs, and full-time positions in software and embedded systems development.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Engineering|Computer Science,Programming Languages|Software Design and Engineering|Engineering|Computer Science,"Chikkerur, Sharat|Weller, Daniel",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
"Democratization in Asia, Africa, and Latin America",https://live-qa.ocw.mit.edu/courses/17-53-democratization-in-asia-africa-and-latin-america-fall-2001,Full Course,Text/HTML,"Recent years have seen an astonishing spread of democracy to many African, Asian, and Latin American countries. What caused these dramatic political transitions? What challenges do democratizing countries in the Third World face? Will these new democracies endure? We will take up these questions using film, fiction, and popular journalism, as well as scholarly research. We will also focus on a small number of countries (Brazil, India, Mexico, Nigeria, Senegal, Singapore, and Sri Lanka) in order to explore in greater depth some of the most important political challenges faced by developing countries. Although the class focuses on the developing world, many of the lessons should ""travel"" to democratizing countries in other regions.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Cultural Geography|Philosophy|Political Science|Social Science,Social Science|Humanities|The Developing World|Philosophy|Political Science|Society|Political Philosophy,"Lawson, Chappell|Schaffer, Frederic",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
